[SNIPER-0096] [Attack_Name=(0075)HTTPD Overflow], [Time=2016/02/02 16:23:56], [Hacker=23.44.205.68], [Victim=103.247.220.153], [Protocol=tcp/80], [Risk=Medium], [Handling=Alarm], [Information=], [SrcPort=54179]
[SNIPER-0096] [Attack_Name=(0104)HTTP Login Brute Force], [Time=2016/02/02 16:23:56], [Hacker=23.44.152.63], [Victim=211.115.106.208], [Protocol=tcp/80], [Risk=High], [Handling=Alarm], [Information=], [SrcPort=59441]
[SNIPER-0096] [Attack_Name=(0075)HTTPD Overflow], [Time=2016/02/02 16:23:56], [Hacker=23.44.205.68], [Victim=52.192.236.250], [Protocol=tcp/80], [Risk=Medium], [Handling=Alarm], [Information=], [SrcPort=54181]
[SNIPER-0096] [Attack_Name=(0075)HTTPD Overflow], [Time=2016/02/02 16:28:56], [Hacker=112.172.215.78], [Victim=128.134.135.48], [Protocol=tcp/80], [Risk=Medium], [Handling=Alarm], [Information=], [SrcPort=54838]
[SNIPER-0096] [Attack_Name=(0075)HTTPD Overflow], [Time=2016/02/02 16:28:56], [Hacker=112.172.215.78], [Victim=128.134.135.222], [Protocol=tcp/80], [Risk=Medium], [Handling=Alarm], [Information=], [SrcPort=54913]
[SNIPER-0096] [Attack_Name=(0014)Host Sweep], [Time=2016/02/02 16:23:56], [Hacker=211.244.82.218], [Victim=172.25.165.85], [Protocol=tcp/55205], [Risk=Medium], [Handling=Alarm], [Information=], [SrcPort=80]
[SNIPER-0096] [Attack_Name=(0006)UDP Flooding], [Time=2016/02/02 16:23:56], [Hacker=55.101.44.204], [Victim=172.20.51.79], [Protocol=udp/54869], [Risk=High], [Handling=Alarm], [Information=], [SrcPort=161]
[SNIPER-0096] [Attack_Name=(5450)index.jsp (JSP Request Source Code Disclosure Vulnerability)], [Time=2016/02/02 16:28:56], [Hacker=211.33.183.253], [Victim=128.134.135.30], [Protocol=tcp/80], [Risk=Low], [Handling=Alarm], [Information=], [SrcPort=23592]
[SNIPER-0096] [Attack_Name=(5450)index.jsp (JSP Request Source Code Disclosure Vulnerability)], [Time=2016/02/02 16:28:56], [Hacker=59.27.3.112], [Victim=128.134.135.222], [Protocol=tcp/80], [Risk=Low], [Handling=Alarm], [Information=], [SrcPort=10009]
[SNIPER-0096] [Attack_Name=(0006)UDP Flooding], [Time=2016/02/02 16:23:57], [Hacker=96.97.158.103], [Victim=10.74.253.1], [Protocol=udp/161], [Risk=High], [Handling=Alarm], [Information=], [SrcPort=52793]
[SNIPER-0096] [Attack_Name=(0006)UDP Flooding], [Time=2016/02/02 16:23:57], [Hacker=96.97.158.103], [Victim=10.74.253.201], [Protocol=udp/161], [Risk=High], [Handling=Alarm], [Information=], [SrcPort=52793]
[SNIPER-0096] [Attack_Name=(0194)Dcom_ICMP_Sweep(Welchia.worm, ICMP-Type8,Code0)], [Time=2016/02/02 16:23:57], [Hacker=192.168.237.212], [Victim=192.168.74.219], [Protocol=icmp/0], [Risk=Medium], [Handling=Alarm], [Information=], [SrcPort=2048]
[SNIPER-0096] [Attack_Name=(0009)Ping Flooding], [Time=2016/02/02 16:23:57], [Hacker=55.150.76.89], [Victim=10.200.208.100], [Protocol=icmp/0], [Risk=Low], [Handling=Alarm], [Information=], [SrcPort=2048]
[SNIPER-0096] [Attack_Name=(0075)HTTPD Overflow], [Time=2016/02/02 16:28:57], [Hacker=116.38.248.178], [Victim=128.134.135.222], [Protocol=tcp/80], [Risk=Medium], [Handling=Alarm], [Information=], [SrcPort=3712]
[SNIPER-0096] [Attack_Name=(1974)Browser Policy Bypass Access Program], [Time=2016/02/02 16:23:57], [Hacker=10.17.174.11], [Victim=203.133.166.61], [Protocol=tcp/80], [Risk=Low], [Handling=Alarm], [Information=], [SrcPort=64694]
[SNIPER-0096] [Attack_Name=(1974)Browser Policy Bypass Access Program], [Time=2016/02/02 16:23:57], [Hacker=10.17.174.11], [Victim=203.133.166.61], [Protocol=tcp/80], [Risk=Low], [Handling=Alarm], [Information=], [SrcPort=64698]
[SNIPER-0096] [Attack_Name=(1974)Browser Policy Bypass Access Program], [Time=2016/02/02 16:23:57], [Hacker=10.17.174.11], [Victim=203.133.172.61], [Protocol=tcp/80], [Risk=Low], [Handling=Alarm], [Information=], [SrcPort=64689]
[SNIPER-0096] [Attack_Name=(1974)Browser Policy Bypass Access Program], [Time=2016/02/02 16:23:57], [Hacker=10.17.174.11], [Victim=203.133.172.61], [Protocol=tcp/80], [Risk=Low], [Handling=Alarm], [Information=], [SrcPort=64690]
[SNIPER-0096] [Attack_Name=(0018)Ping Sweep], [Time=2016/02/02 16:23:51], [Hacker=55.150.78.131], [Victim=10.200.208.100], [Protocol=icmp/0], [Risk=Medium], [Handling=Alarm], [Information=], [SrcPort=2048]
[SNIPER-0096] [Attack_Name=(0009)Ping Flooding], [Time=2016/02/02 16:23:51], [Hacker=55.150.78.131], [Victim=10.200.208.100], [Protocol=icmp/0], [Risk=Low], [Handling=Alarm], [Information=], [SrcPort=2048]
[SNIPER-0096] [Attack_Name=(0018)Ping Sweep], [Time=2016/02/02 16:23:51], [Hacker=55.150.78.131], [Victim=10.200.208.100], [Protocol=icmp/0], [Risk=Medium], [Handling=Alarm], [Information=], [SrcPort=2048]
[SNIPER-0096] [Attack_Name=(2242)Netbios Scan (Messenger, RPC Dcom, MyDoom...) (UDP-137)], [Time=2016/02/02 16:23:51], [Hacker=218.146.32.11], [Victim=192.168.87.243], [Protocol=udp/137], [Risk=Medium], [Handling=Alarm], [Information=], [SrcPort=40611]
[SNIPER-0096] [Attack_Name=(1974)Browser Policy Bypass Access Program], [Time=2016/02/02 16:23:52], [Hacker=172.17.20.134], [Victim=222.231.41.200], [Protocol=tcp/80], [Risk=Low], [Handling=Alarm], [Information=], [SrcPort=56520]
[SNIPER-0096] [Attack_Name=(0182)SNMP Brute Force], [Time=2016/02/02 16:23:52], [Hacker=172.16.4.231], [Victim=128.134.135.129], [Protocol=udp/161], [Risk=High], [Handling=Alarm], [Information=], [SrcPort=4437]
[SNIPER-0096] [Attack_Name=(1974)Browser Policy Bypass Access Program], [Time=2016/02/02 16:23:52], [Hacker=172.19.130.187], [Victim=1.234.77.152], [Protocol=tcp/80], [Risk=Low], [Handling=Alarm], [Information=], [SrcPort=8093]
[SNIPER-0096] [Attack_Name=(0035)UDP Tear Drop], [Time=2016/02/02 16:23:52], [Hacker=172.23.12.186], [Victim=194.28.148.10], [Protocol=udp/500], [Risk=High], [Handling=Defence], [Information=], [SrcPort=58373]
[SNIPER-0096] [Attack_Name=(0075)HTTPD Overflow], [Time=2016/02/02 16:28:51], [Hacker=14.50.179.174], [Victim=128.134.135.222], [Protocol=tcp/80], [Risk=Medium], [Handling=Alarm], [Information=], [SrcPort=53132]
[SNIPER-0096] [Attack_Name=(0075)HTTPD Overflow], [Time=2016/02/02 16:23:52], [Hacker=96.97.67.88], [Victim=113.217.247.100], [Protocol=tcp/80], [Risk=Medium], [Handling=Alarm], [Information=], [SrcPort=13866]
