[SNIPER-1004] [Attack_Name=(0111)ACK Port Scan(F/W Scan)], [Time=2016/02/02 16:10:43], [Hacker=203.233.82.142], [Victim=172.16.1.251], [Protocol=tcp/54626], [Risk=Medium], [Handling=Alarm], [Information=], [SrcPort=9900]
[SNIPER-1004] [Attack_Name=(0111)ACK Port Scan(F/W Scan)], [Time=2016/02/02 16:10:44], [Hacker=203.233.82.178], [Victim=172.24.180.31], [Protocol=tcp/46003], [Risk=Medium], [Handling=Alarm], [Information=], [SrcPort=9900]
[SNIPER-1004] [Attack_Name=(0111)ACK Port Scan(F/W Scan)], [Time=2016/02/02 16:10:44], [Hacker=203.233.82.178], [Victim=172.24.180.32], [Protocol=tcp/47160], [Risk=Medium], [Handling=Alarm], [Information=], [SrcPort=9900]
[SNIPER-1004] [Attack_Name=(0685)HTTP Abnormal Status DOS], [Time=2016/02/02 16:10:45], [Hacker=128.134.135.82], [Victim=115.89.21.21], [Protocol=tcp/52417], [Risk=Medium], [Handling=Alarm], [Information=(Status Code:404)(URI:GET /gwanggyo/ebook/object/memo_btn_up.jp], [SrcPort=80]
[SNIPER-1004] [Attack_Name=(0111)ACK Port Scan(F/W Scan)], [Time=2016/02/02 16:10:45], [Hacker=203.233.82.132], [Victim=172.25.250.11], [Protocol=tcp/60172], [Risk=Medium], [Handling=Alarm], [Information=], [SrcPort=9900]
[SNIPER-1004] [Attack_Name=(0182)SNMP Brute Force], [Time=2016/02/02 16:10:45], [Hacker=172.16.4.231], [Victim=128.134.135.129], [Protocol=udp/161], [Risk=High], [Handling=Alarm], [Information=], [SrcPort=4437]
[SNIPER-1004] [Attack_Name=(1251)Microsoft Windows SMBv2 Remote Kernel Crash], [Time=2016/02/02 16:10:45], [Hacker=203.233.82.15], [Victim=172.25.251.30], [Protocol=tcp/445], [Risk=High], [Handling=Alarm], [Information=], [SrcPort=64986]
[SNIPER-1004] [Attack_Name=(0070)FTP PASV DOS], [Time=2016/02/02 16:10:45], [Hacker=218.236.25.90], [Victim=14.47.119.148], [Protocol=tcp/21], [Risk=Medium], [Handling=Alarm], [Information=], [SrcPort=2301]
[SNIPER-1004] [Attack_Name=(0400)SMB Service connect(tcp-445)], [Time=2016/02/02 16:10:43], [Hacker=23.44.205.186], [Victim=23.44.120.203], [Protocol=tcp/445], [Risk=Medium], [Handling=Alarm], [Information=], [SrcPort=65423]
[SNIPER-1004] [Attack_Name=(2242)Netbios Scan (Messenger, RPC Dcom, MyDoom...) (UDP-137)], [Time=2016/02/02 16:10:46], [Hacker=71.160.121.61], [Victim=14.47.119.221], [Protocol=udp/137], [Risk=Medium], [Handling=Alarm], [Information=], [SrcPort=137]
[SNIPER-1004] [Attack_Name=(0035)UDP Tear Drop], [Time=2016/02/02 16:10:43], [Hacker=10.239.22.155], [Victim=90.96.0.197], [Protocol=udp/14906], [Risk=High], [Handling=Alarm], [Information=], [SrcPort=14384]
[SNIPER-1004] [Attack_Name=(1180)MS WINS Server Registration Spoofing Vuln-1[Req](UDP-137)], [Time=2016/02/02 16:10:45], [Hacker=23.44.206.57], [Victim=23.255.255.255], [Protocol=udp/137], [Risk=High], [Handling=Alarm], [Information=], [SrcPort=137]
[SNIPER-1004] [Attack_Name=(1180)MS WINS Server Registration Spoofing Vuln-1[Req](UDP-137)], [Time=2016/02/02 16:10:45], [Hacker=23.44.209.55], [Victim=23.44.255.255], [Protocol=udp/137], [Risk=High], [Handling=Alarm], [Information=], [SrcPort=137]
[SNIPER-1004] [Attack_Name=(0476)DNS Request Flooding], [Time=2016/02/02 16:10:49], [Hacker=172.17.225.137], [Victim=128.134.135.200], [Protocol=udp/53], [Risk=Medium], [Handling=Alarm], [Information=], [SrcPort=51504]
[SNIPER-1004] [Attack_Name=(0104)HTTP Login Brute Force], [Time=2016/02/02 16:10:47], [Hacker=23.44.152.63], [Victim=211.115.106.208], [Protocol=tcp/80], [Risk=High], [Handling=Alarm], [Information=], [SrcPort=59437]
[SNIPER-1004] [Attack_Name=(1251)Microsoft Windows SMBv2 Remote Kernel Crash], [Time=2016/02/02 16:10:50], [Hacker=203.233.82.158], [Victim=172.25.251.30], [Protocol=tcp/445], [Risk=High], [Handling=Alarm], [Information=], [SrcPort=51436]
[SNIPER-1004] [Attack_Name=(1251)Microsoft Windows SMBv2 Remote Kernel Crash], [Time=2016/02/02 16:10:48], [Hacker=172.16.163.9], [Victim=55.111.140.136], [Protocol=tcp/445], [Risk=High], [Handling=Alarm], [Information=], [SrcPort=51777]
[SNIPER-1004] [Attack_Name=(0182)SNMP Brute Force], [Time=2016/02/02 16:10:48], [Hacker=172.16.1.171], [Victim=23.49.140.2], [Protocol=udp/161], [Risk=High], [Handling=Alarm], [Information=], [SrcPort=58978]
[SNIPER-1004] [Attack_Name=(0182)SNMP Brute Force], [Time=2016/02/02 16:10:48], [Hacker=172.16.1.171], [Victim=23.49.160.2], [Protocol=udp/161], [Risk=High], [Handling=Alarm], [Information=], [SrcPort=59058]
[SNIPER-1004] [Attack_Name=(0182)SNMP Brute Force], [Time=2016/02/02 16:10:48], [Hacker=172.16.1.171], [Victim=23.49.141.2], [Protocol=udp/161], [Risk=High], [Handling=Alarm], [Information=], [SrcPort=59074]
[SNIPER-1004] [Attack_Name=(0182)SNMP Brute Force], [Time=2016/02/02 16:10:48], [Hacker=172.16.1.171], [Victim=23.49.161.2], [Protocol=udp/161], [Risk=High], [Handling=Alarm], [Information=], [SrcPort=59135]
[SNIPER-1004] [Attack_Name=(0182)SNMP Brute Force], [Time=2016/02/02 16:10:32], [Hacker=172.16.4.44], [Victim=128.134.135.194], [Protocol=udp/161], [Risk=High], [Handling=Alarm], [Information=], [SrcPort=57354]
[SNIPER-1004] [Attack_Name=(1251)Microsoft Windows SMBv2 Remote Kernel Crash], [Time=2016/02/02 16:10:33], [Hacker=203.233.82.183], [Victim=172.25.251.30], [Protocol=tcp/445], [Risk=High], [Handling=Alarm], [Information=], [SrcPort=65115]
[SNIPER-1004] [Attack_Name=(3118)Win32/Backdoor.Agent.157744], [Time=2016/02/02 16:10:31], [Hacker=172.16.133.73], [Victim=210.52.215.177], [Protocol=tcp/80], [Risk=High], [Handling=Alarm], [Information=], [SrcPort=52775]
[SNIPER-1004] [Attack_Name=(2242)Netbios Scan (Messenger, RPC Dcom, MyDoom...) (UDP-137)], [Time=2016/02/02 16:10:32], [Hacker=172.16.163.24], [Victim=55.106.240.34], [Protocol=udp/137], [Risk=Medium], [Handling=Alarm], [Information=], [SrcPort=137]
[SNIPER-1004] [Attack_Name=(1251)Microsoft Windows SMBv2 Remote Kernel Crash], [Time=2016/02/02 16:10:36], [Hacker=203.233.82.182], [Victim=172.25.251.30], [Protocol=tcp/445], [Risk=High], [Handling=Alarm], [Information=], [SrcPort=49205]
[SNIPER-1004] [Attack_Name=(1251)Microsoft Windows SMBv2 Remote Kernel Crash], [Time=2016/02/02 16:10:36], [Hacker=203.233.82.184], [Victim=172.25.251.30], [Protocol=tcp/445], [Risk=High], [Handling=Alarm], [Information=], [SrcPort=49198]
[SNIPER-1004] [Attack_Name=(0111)ACK Port Scan(F/W Scan)], [Time=2016/02/02 16:10:37], [Hacker=128.134.135.190], [Victim=172.16.4.66], [Protocol=tcp/41116], [Risk=Medium], [Handling=Alarm], [Information=], [SrcPort=12999]
[SNIPER-1004] [Attack_Name=(0111)ACK Port Scan(F/W Scan)], [Time=2016/02/02 16:10:37], [Hacker=128.134.135.190], [Victim=172.16.4.65], [Protocol=tcp/45657], [Risk=Medium], [Handling=Alarm], [Information=], [SrcPort=12999]
[SNIPER-1004] [Attack_Name=(0111)ACK Port Scan(F/W Scan)], [Time=2016/02/02 16:10:37], [Hacker=203.233.82.111], [Victim=172.16.1.157], [Protocol=tcp/54496], [Risk=Medium], [Handling=Alarm], [Information=], [SrcPort=9900]
[SNIPER-1004] [Attack_Name=(0183)SNMP Sweep (community string)], [Time=2016/02/02 16:10:38], [Hacker=172.16.1.171], [Victim=203.233.82.243], [Protocol=udp/161], [Risk=High], [Handling=Alarm], [Information=], [SrcPort=56200]
[SNIPER-1004] [Attack_Name=(2242)Netbios Scan (Messenger, RPC Dcom, MyDoom...) (UDP-137)], [Time=2016/02/02 16:10:40], [Hacker=98.23.107.101], [Victim=14.47.119.221], [Protocol=udp/137], [Risk=Medium], [Handling=Alarm], [Information=], [SrcPort=137]
[SNIPER-1004] [Attack_Name=(0113)Secure Shell Brute Force], [Time=2016/02/02 16:10:40], [Hacker=128.134.135.54], [Victim=128.134.135.12], [Protocol=tcp/22], [Risk=High], [Handling=Alarm], [Information=], [SrcPort=44421]
